Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures
2013 Subaru Legacy 2.5i Limited Sedan 4D,"$3,999","This vehicle is in perfect running conditions, no warning lights except the tire pressure one,awd ,sunroof, heated seats, need a passenger side wheel bearing and serpentine belt,both parts include with the sale.. See less","Driven 196,000 miles",https://www.facebook.com/marketplace/item/2697343413906972?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254834318246347762%22%2C%22mf_story_key%22%3A%226489546841117884%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6489546841117884%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A11%2C%5C%22ranking_signature%5C%22%3A5949844282780155904%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00056809547491831%7D%22%7D,13
2015 Chevrolet Cruze LTZ Sedan 4D,"$5,999","I am selling this beautiful Chevy, run and driver perfect.  ","Driven 85,000 miles",https://www.facebook.com/marketplace/item/602253450879479?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254834318246347762%22%2C%22mf_story_key%22%3A%227340530249305816%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7340530249305816%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A12%2C%5C%22ranking_signature%5C%22%3A5949844282780155904%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00056809447491831%7D%22%7D,10
,0,,N/A,,0
,0,,N/A,,0
2009 Saturn Aura,"$3,500","2009 Saturn Aura 
4 cylinder
107434 miles
No other issues other than that, needs a good cleaning on the inside
Price negotiable  See less","Driven 107,434 miles",https://www.facebook.com/marketplace/item/4398395573619621?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254834318246347762%22%2C%22mf_story_key%22%3A%225015865065110471%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A5015865065110471%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A17%2C%5C%22ranking_signature%5C%22%3A5949844282780155904%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00056809347491831%7D%22%7D,6
2010 Nissan Murano SL Sport Utility 4D,"$8,000",,"Driven 109,300 miles",,10
Subaru Impreza,0,,N/A,,0
2006 Acura TL 3.2 Sedan 4D,"$4,850","2006 Acura TL · 3.2 Sedan 4D V6 167k mileage
One owner! 
Car runs like new! Zero issues 💯 
Leather - heated - power seats 🔥
Sunroof 💯
Engine and transmission are 100% 
Well maintained at the dealership, just had a fresh oil change. 
Reconstructed Title
Come test drive it now! 🔥🔥 Won’t last long!! See less","Driven 167,000 miles",https://www.facebook.com/marketplace/item/151165390562442/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254834318246347762%22%2C%22mf_story_key%22%3A%224175224572574705%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4175224572574705%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A21%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00038509445572037%7D%22%7D,11
,0,,N/A,,0
,0,,N/A,,0
2015 Chevrolet Malibu LT Sedan 4D,"$5,999","Tired of paying a car note? This the car for you!!

Motor and transmission strong 💯
Leather and cloth seats
Hot and cold air 
Back up camera 
Radio and Bluetooth

Come check it out Broad and oleny [hidden information] Muhammad  See less","Driven 125,000 miles",https://www.facebook.com/marketplace/item/332208321731720/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254834318246347762%22%2C%22mf_story_key%22%3A%226886398121370244%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6886398121370244%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A23%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00035531092351966%7D%22%7D,11
2007 Honda CR-V EX-L Sport Utility 4D,"$4,900","Fully loaded nav leather seats reconstructed title 
140k miles se habla español ","Driven 140,000 miles",https://www.facebook.com/marketplace/item/1791677264348875/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254834318246347762%22%2C%22mf_story_key%22%3A%224559815114096126%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4559815114096126%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A24%2C%5C%22ranking_signature%5C%22%3A3583901409646477312%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00014250143267721%7D%22%7D,2
2013 Nissan Rogue SV Sport Utility 4D,"$6,599","This vehicle is in excellent condition, I am selling it with a motor and transmission guarantee, I just assembled it with 117,000 miles, it is clean title, rear camera inspections 02/22 interior clean, you can travel wherever you want with confidence, you have a good bearing and the 4 tires are new if you are interested, let me know. know and negotiate buy it is yours See less","Driven 200,145 miles",https://www.facebook.com/marketplace/item/1514115815632302/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254834318246347762%22%2C%22mf_story_key%22%3A%225052920508070336%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A5052920508070336%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A25%2C%5C%22ranking_signature%5C%22%3A3885465537538424832%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00034373331295243%7D%22%7D,19
2004 BMW Series 3 330Ci Coupe 2D,"$9,000","Perfectly maintained, o2 sensors done less than 200 miles ago. Little dents on the hood, other than that interior is perfect and exterior is in very good condition. Clutch, brakes valve cover gaskets, tires recently replaced.. open to negotiate. 9.5 k obo Willing to negotiate See less","Driven 87,000 miles",https://www.facebook.com/marketplace/item/399907911664712/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254834318246347762%22%2C%22mf_story_key%22%3A%224424810134220841%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4424810134220841%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A26%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00036873822815945%7D%22%7D,8
,0,,N/A,,0
2018 KTM Duke,"$4,500","2018 Ktm duke 390 runs great has a k&n intake and a de-cat pipe to make loud!, also with Zeus wheelie bar, yoshimura fender. I have all stock parts also. Has all original paperwork.  2000 miles on it. I can take more pictures or videos let me know if interested. Thanks for looking See less","Driven 2,000 miles",https://www.facebook.com/marketplace/item/600973257993239/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833424787307903%22%2C%22mf_story_key%22%3A%224410518552395904%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4410518552395904%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A29%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00036168874335564%7D%22%7D,5
2014 Honda CR-V LX Sport Utility 4D,"$12,995","Very clean, well maintained , runs great ","Driven 128,393 miles",https://www.facebook.com/marketplace/item/964247490840219/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833424787307903%22%2C%22mf_story_key%22%3A%226743609715679729%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6743609715679729%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A30%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00035894241995159%7D%22%7D,15
2017 Chevrolet Cruze LS Sedan 4D,"$8,900","2017 Chevrolet Cruze runs great it has only 47,000 miles rebuilt title  ","Driven 47,000 miles",https://www.facebook.com/marketplace/item/1521901931505528/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833424787307903%22%2C%22mf_story_key%22%3A%223894827517285453%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A3894827517285453%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A31%2C%5C%22ranking_signature%5C%22%3A3885465537538424832%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00031425880307979%7D%22%7D,18
2019 Nissan Sentra SV Sedan 4D,"$11,500","2019 Nissan Sentra SV 1.8L 4CYL engine, automatic  transmission, 38,000mi,rear view  camera,allow rims,integrated phone, ACC  Radar
System I. For more information  call me
[hidden information]  See less","Driven 38,000 miles",https://www.facebook.com/marketplace/item/1053895295431734/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833424787307903%22%2C%22mf_story_key%22%3A%224503388409779096%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4503388409779096%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A32%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00033603741078317%7D%22%7D,7
2016 Hyundai Accent SE Sedan 4D,"$5,850",R title runs and drive good. ,"Driven 106,000 miles",https://www.facebook.com/marketplace/item/1285208011943594/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833424787307903%22%2C%22mf_story_key%22%3A%227294172350608513%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7294172350608513%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A33%2C%5C%22ranking_signature%5C%22%3A3885465537538424832%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00032222076731362%7D%22%7D,2
,0,,N/A,,0
2010 Chrysler Town & Country Touring-L 30th Anniversary Minivan 4D,"$4,700",G L e. Navigation sunroof review cameras TVs DVD the whole 9 yard is a Gl e Very smooth one owner ,"Driven 148,000 miles",https://www.facebook.com/marketplace/item/234038185489029/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833424787307903%22%2C%22mf_story_key%22%3A%224228794420560015%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4228794420560015%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A34%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00033636283055886%7D%22%7D,18
2009 Nissan Altima 2.5 S Sedan 4D,"$4,500",Run excellent economical on gas heated seats car in a good condition ,"Driven 100,000 miles",https://www.facebook.com/marketplace/item/2647943058846611/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833424787307903%22%2C%22mf_story_key%22%3A%224586452984736773%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4586452984736773%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A35%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00033602510881902%7D%22%7D,7
2012 Ford Fusion,"$4,000",I sell fusion 2012   Title Reconstructed but in good condition more information txt or call me [hidden information] See less,"Driven 118,879 miles",https://www.facebook.com/marketplace/item/301964878493829/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833356137238546%22%2C%22mf_story_key%22%3A%226489299927806586%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6489299927806586%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A37%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00033408786045947%7D%22%7D,12
2016 Chevrolet Malibu LT Sedan 4D,"$7,500",2016 Chevy Malibu LT power windows power locks runs and drives excellent no mechanical problems clean title motor and transmission both are 100% strong very dependable and reliable See less,"Driven 207,541 miles",https://www.facebook.com/marketplace/item/463762808509187/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833356137238546%22%2C%22mf_story_key%22%3A%226356967524375456%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6356967524375456%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A38%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0003235607294217%7D%22%7D,12
2005 Audi A4 3.0 Quattro Cabriolet 2D,"$6,500",2005 Audi A4 convertible mileage 72581 original mileage repairs done new timing belt new water pump new thermostat new brake pads and rotors.￼ everything on this car is working the way it should. See less,"Driven 72,581 miles",https://www.facebook.com/marketplace/item/625058751987180?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833356137238546%22%2C%22mf_story_key%22%3A%224534307473258907%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4534307473258907%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A40%2C%5C%22ranking_signature%5C%22%3A5949844282780155904%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00056809047491831%7D%22%7D,8
,0,,N/A,,0
2005 Kawasaki kfx 700,"$4,000","2005 KFX 700 oil changed a month ago it runs during deer season and sits have spare parts for it such as brake pads rear axle oil filters that all go with it open to trades and or $4,000 or best offer consider trades for equipment trailers S10 chainsaws pretty much anything let me know what you have See less",Exterior color: Black · Interior color: Black,https://www.facebook.com/marketplace/item/427899988868614/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833356137238546%22%2C%22mf_story_key%22%3A%224350330205076048%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4350330205076048%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A41%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00032599779824634%7D%22%7D,7
2002 Nissan crew cab 4x4 low miles Sport,"$6,500","Price is firm. Please read add.
If you see the picture truck is still available.

2002 Nissan frontier sport crew cab, 6 ft bed.  Six-cylinder engine supercharged factory automatic transmission runs and drives great.

No rust, no accidents.

small crack in front bumper.

New tires,  power windows, power locks cold AC and heat work good.

Please call if you're interested and I will contact you back. showing only by appointments See less","Driven 118,000 miles",https://www.facebook.com/marketplace/item/2078341425675073/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833356137238546%22%2C%22mf_story_key%22%3A%224380885725370430%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4380885725370430%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A42%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00033473393875925%7D%22%7D,11
2013 Subaru Impreza 2.0i Sedan 4D,"$8,500","2013 Impreza 2.0i manual, symmetrical AWD. Engine block, gaskets and seals have been replaced as of 118k miles. All internals were inspected and cleaned at time of replacement. All paperwork in hand from Rafferty Subaru where work was done. I still owe money on the vehicle, therefore title is not in hand. But something can easily be worked out. There is nothing wrong with the vehicle mechanically (front end will be repainted and color matched by professionals to fix imperfections). Any questions please ask.

I will NOT reply to ""Is this available"". If the post is up, it's available. See less","Driven 130,000 miles",https://www.facebook.com/marketplace/item/231250285765204/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833356137238546%22%2C%22mf_story_key%22%3A%224794532503945698%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4794532503945698%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A43%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00032903159472153%7D%22%7D,3
2005 Toyota Solara SE Coupe 2D,"$5,995",we approve everybody…. tax tags and all costs included in down payment….. we report to all three of the credit bureaus… Full warranty…..American Auto Group￼￼￼￼ See less,"Driven 165,000 miles",https://www.facebook.com/marketplace/item/483948539728576/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833356137238546%22%2C%22mf_story_key%22%3A%224770134563035518%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4770134563035518%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A44%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00034432470882062%7D%22%7D,0
2012 Subaru Legacy 2.5i Sedan 4D,"$6,700","2012 Subaru Legacy
105k miles
Ac cold Heat hot
Leather/Heated Seats
Great on Gas, AUX
Runs and Drives Great 
I’m only looking for h$6700 See less","Driven 105,000 miles",https://www.facebook.com/marketplace/item/2138601716305458/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833356137238546%22%2C%22mf_story_key%22%3A%224848898401808581%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4848898401808581%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A45%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00033395565264972%7D%22%7D,19
,0,,N/A,,0
2007 Mazda Mazda6 MAZDASPEED6 Sport Sedan 4D,"$3,500",This is a salvage title but no issues at all runs and drives like new test drive is available  ,"Driven 88,100 miles",https://www.facebook.com/marketplace/item/605305357389151/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833287506584624%22%2C%22mf_story_key%22%3A%224645327335505095%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4645327335505095%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A47%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00032905617223775%7D%22%7D,20
2012 Honda Odyssey EX Minivan 4D,"$9,000",I am sun in my 2012 Honda odyssey ex it’s a clean title the van drives good it comes with LED lights back up camera install by me no check engine light this is my DJ van I want to use it to Dj I’m just trying to upgrade to a newer one low bawlers will be ignored I’m asking 9000 it has a few Scratches ￼around the body nothing major for more info HMU See less,"Driven 154,000 miles",https://www.facebook.com/marketplace/item/1053155852205933/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833287506584624%22%2C%22mf_story_key%22%3A%224360755454051403%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4360755454051403%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A48%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00032222385709651%7D%22%7D,9
2011 Chevrolet Cruze LT Sedan 4D,"$3,800","Runs and drives great. No issues…Read the ad Runs great no engine or trans issues
Automatic start. Rear parking sensors. Does have some ding as the pics show. Needs a detail.Price reflects the minor things mentioned. Negotiable  See less","Driven 117,000 miles",https://www.facebook.com/marketplace/item/274894254659883/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833287506584624%22%2C%22mf_story_key%22%3A%224987843627913565%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4987843627913565%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A49%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00033427292579767%7D%22%7D,8
2020 Hyundai Santa Fe,"$17,995","For sale by owner 2020 Hyundia Sonata, with very low miles 14000 rebuild title super clean car like brand new. See less","Driven 14,000 miles",https://www.facebook.com/marketplace/item/643550823326824/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833287506584624%22%2C%22mf_story_key%22%3A%224855963064469879%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4855963064469879%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A50%2C%5C%22ranking_signature%5C%22%3A4846787979840061440%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00032757449430594%7D%22%7D,7
2004 Ford Ranger Edge Pickup 4D 6 ft,"$2,000",Only for parts transmission bad …  ,"Driven 200,000 miles",https://www.facebook.com/marketplace/item/4324879474308124/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833287506584624%22%2C%22mf_story_key%22%3A%224642356825849787%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4642356825849787%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A51%2C%5C%22ranking_signature%5C%22%3A3885465537538424832%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00030270519061189%7D%22%7D,2
,0,,N/A,,0
2018 Audi Audi S7 Premium Plus Sedan 4D,"$56,495","FOR SALE!!!
2018 S7 in this gorgeous Misano Red! Very nicely spec'd including S-Sport Pkg, Black Optics Pkg, Driver Assistance Pkg, and Carbon Atlas Inlays! Just over 50k miles!
Msg me for more information or to stop and check it out! See less","Driven 51,000 miles",https://www.facebook.com/marketplace/item/1054096805416588/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7254833287506584624%22%2C%22mf_story_key%22%3A%224592255117501473%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A4592255117501473%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A52%2C%5C%22ranking_signature%5C%22%3A3885465537538424832%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00029092267438862%7D%22%7D,8
